run_1, 1, 5987.0
run_2, 2, 5653.857142857143
run_3, 3, 6726.285714285714
run_4, 4, 5288.714285714286
run_5, 5, 7075.428571428571
run_6, 6, 7453.571428571429
run_7, 7, 4591.428571428571
run_8, 8, 6413.142857142857
run_9, 9, 8183.857142857143
run_10, 10, 4961.571428571429
run_11, 11, 5300.714285714286
run_12, 12, 6378.142857142857
run_13, 13, 5656.857142857143
run_14, 14, 4618.428571428571
run_15, 15, 6374.142857142857
run_16, 16, 7100.428571428571
run_17, 17, 4211.285714285714
run_18, 18, 6381.142857142857
run_19, 19, 7123.428571428571
run_20, 20, 6020.0
run_21, 21, 4596.428571428571
run_22, 22, 6715.285714285714
run_23, 23, 6373.142857142857
run_24, 24, 5992.0
run_25, 25, 7422.571428571429
run_26, 26, 5297.714285714286
run_27, 27, 4577.428571428571
run_28, 28, 6372.142857142857
run_29, 29, 7428.571428571429
run_30, 30, 5296.714285714286
run_31, 31, 6034.0
run_32, 32, 6357.142857142857
run_33, 33, 6728.285714285714
run_34, 34, 7099.428571428571
run_35, 35, 5991.0
run_36, 36, 3166.857142857143
run_37, 37, 7076.428571428571
run_38, 38, 4574.428571428571
run_39, 39, 4248.285714285714
run_40, 40, 7067.428571428571
run_41, 41, 4571.428571428571
run_42, 42, 6752.285714285714
run_43, 43, 6000.0
run_44, 44, 6004.0
run_45, 45, 6722.285714285714
run_46, 46, 5295.714285714286
run_47, 47, 6034.0
run_48, 48, 5673.857142857143
run_49, 49, 4950.571428571429
run_50, 50, 6738.285714285714
run_51, 51, 5627.857142857143
run_52, 52, 6383.142857142857
run_53, 53, 4576.428571428571
run_54, 54, 4969.571428571429
run_55, 55, 5301.714285714286
run_56, 56, 6352.142857142857
run_57, 57, 4920.571428571429
run_58, 58, 6349.142857142857
run_59, 59, 4563.428571428571
run_60, 60, 5651.857142857143
run_61, 61, 6733.285714285714
run_62, 62, 4938.571428571429
run_63, 63, 5647.857142857143
run_64, 64, 5280.714285714286
run_65, 65, 5297.714285714286
run_66, 66, 3151.857142857143
run_67, 67, 5997.0
run_68, 68, 5281.714285714286
run_69, 69, 5992.0
run_70, 70, 7794.714285714286
run_71, 71, 6374.142857142857
run_72, 72, 6346.142857142857
run_73, 73, 5668.857142857143
run_74, 74, 5648.857142857143
run_75, 75, 4552.428571428571
run_76, 76, 6035.0
run_77, 77, 5999.0
run_78, 78, 5686.857142857143
run_79, 79, 6023.0
run_80, 80, 6373.142857142857
run_81, 81, 4925.571428571429
run_82, 82, 6359.142857142857
run_83, 83, 6355.142857142857
run_84, 84, 6375.142857142857
run_85, 85, 5642.857142857143
run_86, 86, 6011.0
run_87, 87, 6352.142857142857
run_88, 88, 6755.285714285714
run_89, 89, 6035.0
run_90, 90, 6032.0
run_91, 91, 6008.0
run_92, 92, 5290.714285714286
run_93, 93, 5665.857142857143
run_94, 94, 7091.428571428571
run_95, 95, 5313.714285714286
run_96, 96, 5666.857142857143
run_97, 97, 4228.285714285714
run_98, 98, 5644.857142857143
run_99, 99, 6353.142857142857
run_100, 100, 7101.428571428571
run_101, 101, 7069.428571428571
run_102, 102, 3857.142857142857
run_103, 103, 5647.857142857143
run_104, 104, 6741.285714285714
run_105, 105, 5271.714285714286
run_106, 106, 3510.0
run_107, 107, 7068.428571428571
run_108, 108, 6021.0
run_109, 109, 6013.0
run_110, 110, 6365.142857142857
run_111, 111, 5625.857142857143
run_112, 112, 4567.428571428571
run_113, 113, 5994.0
run_114, 114, 6357.142857142857
run_115, 115, 6749.285714285714
run_116, 116, 6722.285714285714
run_117, 117, 6373.142857142857
run_118, 118, 4610.428571428571
run_119, 119, 5280.714285714286
run_120, 120, 7431.571428571429
run_121, 121, 7435.571428571429
run_122, 122, 4238.285714285714
run_123, 123, 4954.571428571429
run_124, 124, 4574.428571428571
run_125, 125, 5313.714285714286
run_126, 126, 6024.0
run_127, 127, 6422.142857142857
run_128, 128, 5322.714285714286
run_129, 129, 6338.142857142857
run_130, 130, 5655.857142857143
run_131, 131, 6734.285714285714
run_132, 132, 5313.714285714286
run_133, 133, 6693.285714285714
run_134, 134, 4948.571428571429
run_135, 135, 5281.714285714286
run_136, 136, 7440.571428571429
run_137, 137, 6357.142857142857
run_138, 138, 7071.428571428571
run_139, 139, 6754.285714285714
run_140, 140, 4564.428571428571
run_141, 141, 6378.142857142857
run_142, 142, 7785.714285714286
run_143, 143, 4922.571428571429
run_144, 144, 6393.142857142857
run_145, 145, 5650.857142857143
run_146, 146, 6734.285714285714
run_147, 147, 4229.285714285714
run_148, 148, 4237.285714285714
run_149, 149, 3860.142857142857
run_150, 150, 6742.285714285714
run_151, 151, 5681.857142857143
run_152, 152, 3859.142857142857
run_153, 153, 6026.0
run_154, 154, 3188.857142857143
run_155, 155, 4615.428571428571
run_156, 156, 6012.0
run_157, 157, 6746.285714285714
run_158, 158, 4920.571428571429
run_159, 159, 7112.428571428571
run_160, 160, 5635.857142857143
run_161, 161, 7443.571428571429
run_162, 162, 6033.0
run_163, 163, 5310.714285714286
run_164, 164, 8147.857142857143
run_165, 165, 5297.714285714286
run_166, 166, 6002.0
run_167, 167, 6361.142857142857
run_168, 168, 3530.0
run_169, 169, 5287.714285714286
run_170, 170, 5992.0
run_171, 171, 7053.428571428571
run_172, 172, 4930.571428571429
run_173, 173, 7788.714285714286
run_174, 174, 4963.571428571429
run_175, 175, 4945.571428571429
run_176, 176, 7108.428571428571
run_177, 177, 7076.428571428571
run_178, 178, 6354.142857142857
run_179, 179, 5649.857142857143
run_180, 180, 6001.0
